wl,CIE1931_x,CIE1931_y,CIE1931_z,CIE1964_x,CIE1964_y,CIE1964_z
580,0.9163000000,0.8700000000,0.0016500010,1.0141600000,0.8689340000,0.0000000000
581,0.9297995000,0.8598613000,0.0016101330,1.0265000000,0.8601640000,0.0000000000
582,0.9427984000,0.8493920000,0.0015644000,1.0388000000,0.8515190000,0.0000000000
583,0.9552776000,0.8386220000,0.0015136000,1.0510000000,0.8429630000,0.0000000000
584,0.9672179000,0.8275813000,0.0014585330,1.0629000000,0.8343930000,0.0000000000
585,0.9786000000,0.8163000000,0.0014000000,1.0743000000,0.8256230000,0.0000000000
586,0.9893856000,0.8047947000,0.0013366670,1.0852000000,0.8167640000,0.0000000000
587,0.9995488000,0.7930820000,0.0012700000,1.0952000000,0.8075440000,0.0000000000
588,1.0090892000,0.7811920000,0.0012050000,1.1042000000,0.7979470000,0.0000000000
589,1.0180064000,0.7691547000,0.0011466670,1.1120000000,0.7878930000,0.0000000000
590,1.0263000000,0.7570000000,0.0011000000,1.1185200000,0.7774050000,0.0000000000
591,1.0339827000,0.7447541000,0.0010688000,1.1238000000,0.7664900000,0.0000000000
592,1.0409860000,0.7324224000,0.0010494000,1.1280000000,0.7553090000,0.0000000000
593,1.0471880000,0.7200036000,0.0010356000,1.1311000000,0.7438450000,0.0000000000
594,1.0524667000,0.7074965000,0.0010212000,1.1332000000,0.7321900000,0.0000000000
595,1.0567000000,0.6949000000,0.0010000000,1.1343000000,0.7203530000,0.0000000000
596,1.0597944000,0.6822192000,0.0009686400,1.1343000000,0.7082810000,0.0000000000
597,1.0617992000,0.6694716000,0.0009299200,1.1333000000,0.6960550000,0.0000000000
598,1.0628068000,0.6566744000,0.0008868800,1.1312000000,0.6836210000,0.0000000000
599,1.0629096000,0.6438448000,0.0008425600,1.1281000000,0.6710480000,0.0000000000
600,1.0622000000,0.6310000000,0.0008000000,1.1239900000,0.6583410000,0.0000000000
601,1.0607352000,0.6181555000,0.0007609600,1.1189000000,0.6455450000,0.0000000000
602,1.0584436000,0.6053144000,0.0007236800,1.1129000000,0.6327180000,0.0000000000
603,1.0552244000,0.5924756000,0.0006859200,1.1059000000,0.6198150000,0.0000000000
604,1.0509768000,0.5796379000,0.0006454400,1.0980000000,0.6068870000,0.0000000000
605,1.0456000000,0.5668000000,0.0006000000,1.0891000000,0.5938780000,0.0000000000
606,1.0390369000,0.5539611000,0.0005478667,1.0792000000,0.5807810000,0.0000000000
607,1.0313608000,0.5411372000,0.0004916000,1.0684000000,0.5676530000,0.0000000000
608,1.0226662000,0.5283528000,0.0004354000,1.0567000000,0.5544900000,0.0000000000
609,1.0130477000,0.5156323000,0.0003834667,1.0440000000,0.5412280000,0.0000000000
610,1.0026000000,0.5030000000,0.0003400000,1.0304800000,0.5279630000,0.0000000000
611,0.9913675000,0.4904688000,0.0003072533,1.0160000000,0.5146340000,0.0000000000
612,0.9793314000,0.4780304000,0.0002831600,1.0008000000,0.5013630000,0.0000000000
613,0.9664916000,0.4656776000,0.0002654400,0.9847900000,0.4881240000,0.0000000000
614,0.9528479000,0.4534032000,0.0002518133,0.9680800000,0.4749350000,0.0000000000
615,0.9384000000,0.4412000000,0.0002400000,0.9507400000,0.4618340000,0.0000000000
616,0.9231940000,0.4290800000,0.0002295467,0.9328000000,0.4488230000,0.0000000000
617,0.9072440000,0.4170360000,0.0002206400,0.9143400000,0.4359170000,0.0000000000
618,0.8905020000,0.4050320000,0.0002119600,0.8953900000,0.4231530000,0.0000000000
619,0.8729200000,0.3930320000,0.0002021867,0.8760300000,0.4105260000,0.0000000000
620,0.8544499000,0.3810000000,0.0001900000,0.8562970000,0.3980570000,0.0000000000
621,0.8350840000,0.3689184000,0.0001742133,0.8363500000,0.3858350000,0.0000000000
622,0.8149460000,0.3568272000,0.0001556400,0.8162900000,0.3739510000,0.0000000000
623,0.7941860000,0.3447768000,0.0001359600,0.7960500000,0.3623110000,0.0000000000
624,0.7729540000,0.3328176000,0.0001168533,0.7756100000,0.3508630000,0.0000000000
625,0.7514000000,0.3210000000,0.0001000000,0.7549300000,0.3395540000,0.0000000000
626,0.7295836000,0.3093381000,0.0000861333,0.7339900000,0.3283090000,0.0000000000
627,0.7075888000,0.2978504000,0.0000746000,0.7127800000,0.3171180000,0.0000000000
628,0.6856022000,0.2865936000,0.0000650000,0.6912900000,0.3059360000,0.0000000000
629,0.6638104000,0.2756245000,0.0000569333,0.6695200000,0.2947370000,0.0000000000
630,0.6424000000,0.2650000000,0.0000500000,0.6474670000,0.2834930000,0.0000000000
631,0.6215149000,0.2547632000,0.0000441600,0.6251100000,0.2722220000,0.0000000000
632,0.6011138000,0.2448896000,0.0000394800,0.6025200000,0.2609900000,0.0000000000
633,0.5811052000,0.2353344000,0.0000357200,0.5798900000,0.2498770000,0.0000000000
634,0.5613977000,0.2260528000,0.0000326400,0.5573700000,0.2389460000,0.0000000000
635,0.5419000000,0.2170000000,0.0000300000,0.5351100000,0.2282540000,0.0000000000
636,0.5225995000,0.2081616000,0.0000276533,0.5132400000,0.2178530000,0.0000000000
637,0.5035464000,0.1995488000,0.0000255600,0.4918600000,0.2077800000,0.0000000000
638,0.4847436000,0.1911552000,0.0000236400,0.4710800000,0.1980720000,0.0000000000
639,0.4661939000,0.1829744000,0.0000218133,0.4509600000,0.1887480000,0.0000000000
640,0.4479000000,0.1750000000,0.0000200000,0.4315670000,0.1798280000,0.0000000000
641,0.4298613000,0.1672235000,0.0000181333,0.4128700000,0.1712850000,0.0000000000
642,0.4120980000,0.1596464000,0.0000162000,0.3947500000,0.1630590000,0.0000000000
643,0.3946440000,0.1522776000,0.0000142000,0.3772100000,0.1551510000,0.0000000000
644,0.3775333000,0.1451259000,0.0000121333,0.3601900000,0.1475350000,0.0000000000
645,0.3608000000,0.1382000000,0.0000100000,0.3436900000,0.1402110000,0.0000000000
646,0.3444563000,0.1315003000,0.0000077333,0.3276900000,0.1331700000,0.0000000000
647,0.3285168000,0.1250248000,0.0000054000,0.3121700000,0.1264000000,0.0000000000
648,0.3130192000,0.1187792000,0.0000032000,0.2971100000,0.1198920000,0.0000000000
649,0.2980011000,0.1127691000,0.0000013333,0.2825000000,0.1136400000,0.0000000000
650,0.2835000000,0.1070000000,0.0000000000,0.2683290000,0.1076330000,0.0000000000
651,0.2695448000,0.1014762000,0.0000000000,0.2545900000,0.1018700000,0.0000000000
652,0.2561184000,0.0961886400,0.0000000000,0.2413000000,0.0963470000,0.0000000000
653,0.2431896000,0.0911229600,0.0000000000,0.2284800000,0.0910630000,0.0000000000
654,0.2307272000,0.0862648500,0.0000000000,0.2161400000,0.0860100000,0.0000000000
655,0.2187000000,0.0816000000,0.0000000000,0.2043000000,0.0811870000,0.0000000000
656,0.2070971000,0.0771206400,0.0000000000,0.1929500000,0.0765830000,0.0000000000
657,0.1959232000,0.0728255200,0.0000000000,0.1821100000,0.0721980000,0.0000000000
658,0.1851708000,0.0687100800,0.0000000000,0.1717700000,0.0680240000,0.0000000000
659,0.1748323000,0.0647697600,0.0000000000,0.1619200000,0.0640520000,0.0000000000
660,0.1649000000,0.0610000000,0.0000000000,0.1525680000,0.0602810000,0.0000000000
661,0.1553667000,0.0573962100,0.0000000000,0.1436700000,0.0566970000,0.0000000000
662,0.1462300000,0.0539550400,0.0000000000,0.1352000000,0.0532920000,0.0000000000
663,0.1374900000,0.0506737600,0.0000000000,0.1271300000,0.0500590000,0.0000000000
664,0.1291467000,0.0475496500,0.0000000000,0.1194800000,0.0469980000,0.0000000000
665,0.1212000000,0.0445800000,0.0000000000,0.1122100000,0.0440960000,0.0000000000
666,0.1136397000,0.0417587200,0.0000000000,0.1053100000,0.0413450000,0.0000000000
667,0.1064650000,0.0390849600,0.0000000000,0.0987860000,0.0387507000,0.0000000000
668,0.0996904400,0.0365638400,0.0000000000,0.0926100000,0.0362978000,0.0000000000
669,0.0933306100,0.0342004800,0.0000000000,0.0867730000,0.0339832000,0.0000000000
670,0.0874000000,0.0320000000,0.0000000000,0.0812606000,0.0318004000,0.0000000000
671,0.0819009600,0.0299626100,0.0000000000,0.0760480000,0.0297395000,0.0000000000
672,0.0768042800,0.0280766400,0.0000000000,0.0711140000,0.0277918000,0.0000000000
673,0.0720771200,0.0263293600,0.0000000000,0.0664540000,0.0259551000,0.0000000000
674,0.0676866400,0.0247080500,0.0000000000,0.0620620000,0.0242263000,0.0000000000
675,0.0636000000,0.0232000000,0.0000000000,0.0579300000,0.0226017000,0.0000000000
676,0.0598068500,0.0218007700,0.0000000000,0.0540500000,0.0210779000,0.0000000000
677,0.0562821600,0.0205011200,0.0000000000,0.0504120000,0.0196505000,0.0000000000
678,0.0529710400,0.0192810800,0.0000000000,0.0470060000,0.0183153000,0.0000000000
679,0.0498186100,0.0181206900,0.0000000000,0.0438230000,0.0170686000,0.0000000000
680,0.0467700000,0.0170000000,0.0000000000,0.0408508000,0.0159051000,0.0000000000
681,0.0437840500,0.0159037900,0.0000000000,0.0380720000,0.0148183000,0.0000000000
682,0.0408753600,0.0148371800,0.0000000000,0.0354680000,0.0138008000,0.0000000000
683,0.0380726400,0.0138106800,0.0000000000,0.0330310000,0.0128495000,0.0000000000
684,0.0354046100,0.0128347800,0.0000000000,0.0307530000,0.0119607000,0.0000000000
685,0.0329000000,0.0119200000,0.0000000000,0.0286230000,0.0111303000,0.0000000000
686,0.0305641900,0.0110683100,0.0000000000,0.0266350000,0.0103555000,0.0000000000
687,0.0283805600,0.0102733900,0.0000000000,0.0247810000,0.0096332000,0.0000000000
688,0.0263448400,0.0095333110,0.0000000000,0.0230520000,0.0089599000,0.0000000000
689,0.0244527500,0.0088461570,0.0000000000,0.0214410000,0.0083324000,0.0000000000
690,0.0227000000,0.0082100000,0.0000000000,0.0199413000,0.0077488000,0.0000000000
691,0.0210842900,0.0076237810,0.0000000000,0.0185440000,0.0072046000,0.0000000000
692,0.0195998800,0.0070854240,0.0000000000,0.0172410000,0.0066975000,0.0000000000
693,0.0182373200,0.0065914760,0.0000000000,0.0160270000,0.0062251000,0.0000000000
694,0.0169871700,0.0061384850,0.0000000000,0.0148960000,0.0057850000,0.0000000000
695,0.0158400000,0.0057230000,0.0000000000,0.0138420000,0.0053751000,0.0000000000
696,0.0147906400,0.0053430590,0.0000000000,0.0128620000,0.0049941000,0.0000000000
697,0.0138313200,0.0049957960,0.0000000000,0.0119490000,0.0046392000,0.0000000000
698,0.0129486800,0.0046764040,0.0000000000,0.0111000000,0.0043093000,0.0000000000
699,0.0121292000,0.0043800750,0.0000000000,0.0103110000,0.0040028000,0.0000000000
700,0.0113591600,0.0041020000,0.0000000000,0.0095768800,0.0037177400,0.0000000000
701,0.0106293500,0.0038384530,0.0000000000,0.0088940000,0.0034526200,0.0000000000
702,0.0099388460,0.0035890990,0.0000000000,0.0082581000,0.0032058300,0.0000000000
703,0.0092884220,0.0033542190,0.0000000000,0.0076664000,0.0029762300,0.0000000000
704,0.0086788540,0.0031340930,0.0000000000,0.0071163000,0.0027628100,0.0000000000
705,0.0081109160,0.0029290000,0.0000000000,0.0066052000,0.0025645600,0.0000000000
706,0.0075823880,0.0027381390,0.0000000000,0.0061306000,0.0023804800,0.0000000000
707,0.0070887460,0.0025598760,0.0000000000,0.0056903000,0.0022097100,0.0000000000
708,0.0066273130,0.0023932440,0.0000000000,0.0052819000,0.0020513200,0.0000000000
709,0.0061954080,0.0022372750,0.0000000000,0.0049033000,0.0019044900,0.0000000000
710,0.0057903460,0.0020910000,0.0000000000,0.0045526300,0.0017684700,0.0000000000
711,0.0054098260,0.0019535870,0.0000000000,0.0042275000,0.0016423600,0.0000000000
712,0.0050525830,0.0018245800,0.0000000000,0.0039258000,0.0015253500,0.0000000000
713,0.0047175120,0.0017035800,0.0000000000,0.0036457000,0.0014167200,0.0000000000
714,0.0044035070,0.0015901870,0.0000000000,0.0033859000,0.0013159500,0.0000000000
715,0.0041094570,0.0014840000,0.0000000000,0.0031447000,0.0012223900,0.0000000000
716,0.0038339130,0.0013844960,0.0000000000,0.0029208000,0.0011355500,0.0000000000
717,0.0035757480,0.0012912680,0.0000000000,0.0027130000,0.0010549400,0.0000000000
718,0.0033343420,0.0012040920,0.0000000000,0.0025202000,0.0009801400,0.0000000000
719,0.0031090750,0.0011227440,0.0000000000,0.0023411000,0.0009106600,0.0000000000
720,0.0028993270,0.0010470000,0.0000000000,0.0021749600,0.0008461900,0.0000000000
721,0.0027043480,0.0009765896,0.0000000000,0.0020206000,0.0007862900,0.0000000000
722,0.0025230200,0.0009111088,0.0000000000,0.0018773000,0.0007306800,0.0000000000
723,0.0023541680,0.0008501332,0.0000000000,0.0017441000,0.0006789900,0.0000000000
724,0.0021966160,0.0007932384,0.0000000000,0.0016205000,0.0006310100,0.0000000000
725,0.0020491900,0.0007400000,0.0000000000,0.0015057000,0.0005864400,0.0000000000
726,0.0019109600,0.0006900827,0.0000000000,0.0013992000,0.0005451100,0.0000000000
727,0.0017814380,0.0006433100,0.0000000000,0.0013004000,0.0005067200,0.0000000000
728,0.0016601100,0.0005994960,0.0000000000,0.0012087000,0.0004711100,0.0000000000
729,0.0015464590,0.0005584547,0.0000000000,0.0011236000,0.0004380500,0.0000000000
730,0.0014399710,0.0005200000,0.0000000000,0.0010447600,0.0004074100,0.0000000000
731,0.0013400420,0.0004839136,0.0000000000,0.0009715600,0.0003789620,0.0000000000
732,0.0012462750,0.0004500528,0.0000000000,0.0009036000,0.0003525430,0.0000000000
733,0.0011584710,0.0004183452,0.0000000000,0.0008404800,0.0003280010,0.0000000000
734,0.0010764300,0.0003887184,0.0000000000,0.0007818700,0.0003052080,0.0000000000
735,0.0009999493,0.0003611000,0.0000000000,0.0007274500,0.0002840410,0.0000000000
736,0.0009287358,0.0003353835,0.0000000000,0.0006769000,0.0002643750,0.0000000000
737,0.0008624332,0.0003114404,0.0000000000,0.0006299600,0.0002461090,0.0000000000
738,0.0008007503,0.0002891656,0.0000000000,0.0005863700,0.0002291430,0.0000000000
739,0.0007433960,0.0002684539,0.0000000000,0.0005458700,0.0002133760,0.0000000000
740,0.0006900786,0.0002492000,0.0000000000,0.0005082580,0.0001987300,0.0000000000
741,0.0006405156,0.0002313019,0.0000000000,0.0004733000,0.0001851150,0.0000000000
742,0.0005945021,0.0002146856,0.0000000000,0.0004408000,0.0001724540,0.0000000000
743,0.0005518646,0.0001992884,0.0000000000,0.0004105800,0.0001606780,0.0000000000
744,0.0005124290,0.0001850475,0.0000000000,0.0003824900,0.0001497300,0.0000000000
745,0.0004760213,0.0001719000,0.0000000000,0.0003563800,0.0001395500,0.0000000000
746,0.0004424536,0.0001597781,0.0000000000,0.0003321100,0.0001300860,0.0000000000
747,0.0004115117,0.0001486044,0.0000000000,0.0003095500,0.0001212900,0.0000000000
748,0.0003829814,0.0001383016,0.0000000000,0.0002885800,0.0001131060,0.0000000000
749,0.0003566491,0.0001287925,0.0000000000,0.0002690900,0.0001055010,0.0000000000
750,0.0003323011,0.0001200000,0.0000000000,0.0002509690,0.0000984280,0.0000000000
751,0.0003097586,0.0001118595,0.0000000000,0.0002341300,0.0000918530,0.0000000000
752,0.0002888871,0.0001043224,0.0000000000,0.0002184700,0.0000857380,0.0000000000
753,0.0002695394,0.0000973356,0.0000000000,0.0002039100,0.0000800480,0.0000000000
754,0.0002515682,0.0000908459,0.0000000000,0.0001903500,0.0000747510,0.0000000000
755,0.0002348261,0.0000848000,0.0000000000,0.0001777300,0.0000698190,0.0000000000
756,0.0002191710,0.0000791467,0.0000000000,0.0001659700,0.0000652220,0.0000000000
757,0.0002045258,0.0000738580,0.0000000000,0.0001550200,0.0000609390,0.0000000000
758,0.0001908405,0.0000689160,0.0000000000,0.0001448000,0.0000569420,0.0000000000
759,0.0001780654,0.0000643027,0.0000000000,0.0001352800,0.0000532170,0.0000000000
760,0.0001661505,0.0000600000,0.0000000000,0.0001263900,0.0000497370,0.0000000000
761,0.0001550236,0.0000559819,0.0000000000,0.0001181000,0.0000464910,0.0000000000
762,0.0001446219,0.0000522256,0.0000000000,0.0001103700,0.0000434640,0.0000000000
763,0.0001349098,0.0000487184,0.0000000000,0.0001031500,0.0000406350,0.0000000000
764,0.0001258520,0.0000454475,0.0000000000,0.0000964270,0.0000380000,0.0000000000
765,0.0001174130,0.0000424000,0.0000000000,0.0000901510,0.0000355405,0.0000000000
766,0.0001095515,0.0000395610,0.0000000000,0.0000842940,0.0000332448,0.0000000000
767,0.0001022245,0.0000369151,0.0000000000,0.0000788300,0.0000311006,0.0000000000
768,0.0000953945,0.0000344487,0.0000000000,0.0000737290,0.0000290990,0.0000000000
769,0.0000890239,0.0000321482,0.0000000000,0.0000689690,0.0000272307,0.0000000000
770,0.0000830753,0.0000300000,0.0000000000,0.0000645258,0.0000254860,0.0000000000
771,0.0000775127,0.0000279913,0.0000000000,0.0000603760,0.0000238561,0.0000000000
772,0.0000723130,0.0000261136,0.0000000000,0.0000565000,0.0000223332,0.0000000000
773,0.0000674578,0.0000243602,0.0000000000,0.0000528800,0.0000209104,0.0000000000
774,0.0000629284,0.0000227246,0.0000000000,0.0000494980,0.0000195808,0.0000000000
775,0.0000587065,0.0000212000,0.0000000000,0.0000463390,0.0000183384,0.0000000000
776,0.0000547703,0.0000197786,0.0000000000,0.0000433890,0.0000171777,0.0000000000
777,0.0000510992,0.0000184529,0.0000000000,0.0000406340,0.0000160934,0.0000000000
778,0.0000476765,0.0000172169,0.0000000000,0.0000380600,0.0000150800,0.0000000000
779,0.0000444857,0.0000160646,0.0000000000,0.0000356570,0.0000141336,0.0000000000
780,0.0000415099,0.0000149900,0.0000000000,0.0000334117,0.0000132490,0.0000000000