wl,CIE1924_v2,CIE2008_v2,CIE2008_v10
380,0.0000390000,0.0000000000,0.0000000000
381,0.0000428264,0.0000000000,0.0000000000
382,0.0000469146,0.0000000000,0.0000000000
383,0.0000515896,0.0000000000,0.0000000000
384,0.0000571764,0.0000000000,0.0000000000
385,0.0000640000,0.0000000000,0.0000000000
386,0.0000723442,0.0000000000,0.0000000000
387,0.0000822122,0.0000000000,0.0000000000
388,0.0000935082,0.0000000000,0.0000000000
389,0.0001061361,0.0000000000,0.0000000000
390,0.0001200000,0.0004146160,0.0004076780
391,0.0001349840,0.0005028330,0.0004977770
392,0.0001514920,0.0006084990,0.0006064750
393,0.0001702080,0.0007344440,0.0007370040
394,0.0001918160,0.0008837390,0.0008929390
395,0.0002170000,0.0010596500,0.0010781700
396,0.0002469067,0.0012655300,0.0012968200
397,0.0002812400,0.0015047500,0.0015531600
398,0.0003185200,0.0017804900,0.0018514600
399,0.0003572667,0.0020955700,0.0021957900
400,0.0003960000,0.0024521900,0.0025897700
401,0.0004337147,0.0028522200,0.0030368000
402,0.0004730240,0.0032991200,0.0035419300
403,0.0005178760,0.0037974700,0.0041114200
404,0.0005722187,0.0043527700,0.0047526200
405,0.0006400000,0.0049717200,0.0054742100
406,0.0007245600,0.0056610100,0.0062850300
407,0.0008255000,0.0064216100,0.0071880700
408,0.0009411600,0.0072503100,0.0081817900
409,0.0010698800,0.0081401700,0.0092604200
410,0.0012100000,0.0090798600,0.0104130000
411,0.0013620910,0.0100561000,0.0116264000
412,0.0015307520,0.0110646000,0.0128988000
413,0.0017203680,0.0121052000,0.0142344000
414,0.0019353230,0.0131801000,0.0156408000
415,0.0021800000,0.0142938000,0.0171297000
416,0.0024548000,0.0154500000,0.0187127000
417,0.0027640000,0.0166409000,0.0203839000
418,0.0031178000,0.0178530000,0.0221294000
419,0.0035264000,0.0190702000,0.0239299000
420,0.0040000000,0.0202737000,0.0257613000
421,0.0045462400,0.0214481000,0.0276016000
422,0.0051593200,0.0226004000,0.0294551000
423,0.0058292800,0.0237479000,0.0313388000
424,0.0065461600,0.0249125000,0.0332758000
425,0.0073000000,0.0261211000,0.0352955000
426,0.0080865070,0.0273992000,0.0374271000
427,0.0089087200,0.0287499000,0.0396714000
428,0.0097676800,0.0301691000,0.0420200000
429,0.0106644300,0.0316514000,0.0444617000
430,0.0116000000,0.0331904000,0.0469823000
431,0.0125731700,0.0347791000,0.0495674000
432,0.0135827200,0.0364149000,0.0522122000
433,0.0146296800,0.0380957000,0.0549139000
434,0.0157150900,0.0398184000,0.0576692000
435,0.0168400000,0.0415794000,0.0604743000
436,0.0180073600,0.0433710000,0.0633220000
437,0.0192144800,0.0451718000,0.0661927000
438,0.0204539200,0.0469542000,0.0690619000
439,0.0217182400,0.0486872000,0.0719019000
440,0.0230000000,0.0503366000,0.0746829000
441,0.0242946100,0.0518761000,0.0773845000
442,0.0256102400,0.0533222000,0.0800360000
443,0.0269585700,0.0547060000,0.0826852000
444,0.0283512500,0.0560634000,0.0853875000
445,0.0298000000,0.0574339000,0.0882054000
446,0.0313108300,0.0588511000,0.0911893000
447,0.0328836800,0.0603081000,0.0943104000
448,0.0345211200,0.0617864000,0.0975135000
449,0.0362257100,0.0632657000,0.1007350000
450,0.0380000000,0.0647235000,0.1039030000
451,0.0398466700,0.0661475000,0.1069640000
452,0.0417680000,0.0675726000,0.1099680000
453,0.0437660000,0.0690493000,0.1129990000
454,0.0458426700,0.0706328000,0.1161540000
455,0.0480000000,0.0723834000,0.1195390000
456,0.0502436800,0.0743596000,0.1232500000
457,0.0525730400,0.0765938000,0.1273050000
458,0.0549805600,0.0791144000,0.1316960000
459,0.0574587200,0.0819535000,0.1364180000
460,0.0600000000,0.0851482000,0.1414590000
461,0.0626019700,0.0887266000,0.1468000000
462,0.0652775200,0.0926601000,0.1524000000
463,0.0680420800,0.0968972000,0.1582020000
464,0.0709110900,0.1013750000,0.1641400000
465,0.0739000000,0.1060140000,0.1701370000
466,0.0770160000,0.1107380000,0.1761230000
467,0.0802664000,0.1155110000,0.1820900000
468,0.0836668000,0.1203120000,0.1880460000
469,0.0872328000,0.1251160000,0.1940060000
470,0.0909800000,0.1298960000,0.1999860000
471,0.0949175500,0.1346300000,0.2060050000
472,0.0990458400,0.1393310000,0.2120980000
473,0.1033674000,0.1440230000,0.2183040000
474,0.1078846000,0.1487370000,0.2246690000
475,0.1126000000,0.1535070000,0.2312430000
476,0.1175320000,0.1583640000,0.2380740000
477,0.1226744000,0.1633200000,0.2451800000
478,0.1279928000,0.1683760000,0.2525680000
479,0.1334528000,0.1735370000,0.2602480000
480,0.1390200000,0.1788050000,0.2682270000
481,0.1446764000,0.1841820000,0.2765010000
482,0.1504693000,0.1896560000,0.2850040000
483,0.1564619000,0.1952100000,0.2936470000
484,0.1627177000,0.2008260000,0.3023320000
485,0.1693000000,0.2064830000,0.3109440000
486,0.1762431000,0.2121830000,0.3194100000
487,0.1835581000,0.2180280000,0.3278680000
488,0.1912735000,0.2241590000,0.3365260000
489,0.1994180000,0.2307300000,0.3456180000
490,0.2080200000,0.2379160000,0.3554020000
491,0.2171199000,0.2458710000,0.3660890000
492,0.2267345000,0.2546020000,0.3775860000
493,0.2368571000,0.2640760000,0.3896960000
494,0.2474812000,0.2742490000,0.4021950000
495,0.2586000000,0.2850680000,0.4148230000
496,0.2701849000,0.2964840000,0.4273540000
497,0.2822939000,0.3085010000,0.4398210000
498,0.2950505000,0.3211390000,0.4523360000
499,0.3085780000,0.3344180000,0.4650300000
500,0.3230000000,0.3483540000,0.4780480000
501,0.3384021000,0.3629600000,0.4915170000
502,0.3546858000,0.3782280000,0.5054220000
503,0.3716986000,0.3941360000,0.5197060000
504,0.3892875000,0.4106580000,0.5343010000
505,0.4073000000,0.4277600000,0.5491340000
506,0.4256299000,0.4453990000,0.5641300000
507,0.4443096000,0.4635400000,0.5792420000
508,0.4633944000,0.4821380000,0.5944260000
509,0.4829395000,0.5011430000,0.6096390000
510,0.5030000000,0.5204970000,0.6248300000
511,0.5235693000,0.5401390000,0.6399660000
512,0.5445120000,0.5600210000,0.6550940000
513,0.5656900000,0.5800970000,0.6702900000
514,0.5869653000,0.6003170000,0.6856380000
515,0.6082000000,0.6206260000,0.7012290000
516,0.6293456000,0.6409400000,0.7171100000
517,0.6503068000,0.6610770000,0.7330920000
518,0.6708752000,0.6808130000,0.7489040000
519,0.6908424000,0.6999040000,0.7642530000
520,0.7100000000,0.7180890000,0.7788200000
521,0.7281852000,0.7351590000,0.7923410000
522,0.7454636000,0.7511820000,0.8048510000
523,0.7619694000,0.7663140000,0.8164750000
524,0.7778368000,0.7807350000,0.8273520000
525,0.7932000000,0.7946450000,0.8376360000
526,0.8081104000,0.8082070000,0.8474650000
527,0.8224962000,0.8213820000,0.8568870000
528,0.8363068000,0.8340700000,0.8659240000
529,0.8494916000,0.8461710000,0.8746040000
530,0.8620000000,0.8575800000,0.8829550000
531,0.8738108000,0.8682410000,0.8910270000
532,0.8849624000,0.8783060000,0.8989490000
533,0.8954936000,0.8879910000,0.9068750000
534,0.9054432000,0.8975210000,0.9149650000
535,0.9148501000,0.9071350000,0.9233860000
536,0.9237348000,0.9169950000,0.9322320000
537,0.9320924000,0.9269290000,0.9412860000
538,0.9399226000,0.9366730000,0.9502380000
539,0.9472252000,0.9459480000,0.9587650000
540,0.9540000000,0.9544680000,0.9665320000
541,0.9602561000,0.9619830000,0.9732500000
542,0.9660074000,0.9684390000,0.9788420000
543,0.9712606000,0.9738290000,0.9832870000
544,0.9760225000,0.9781520000,0.9865720000
545,0.9803000000,0.9814110000,0.9886890000
546,0.9840924000,0.9836670000,0.9897060000
547,0.9874182000,0.9852080000,0.9899850000
548,0.9903128000,0.9863810000,0.9899620000
549,0.9928116000,0.9875360000,0.9900730000
550,0.9949501000,0.9890230000,0.9907500000
551,0.9967108000,0.9910810000,0.9922830000
552,0.9980983000,0.9934910000,0.9943840000
553,0.9991120000,0.9959170000,0.9966220000
554,0.9997482000,0.9980210000,0.9985650000
555,1.0000000000,0.9994610000,0.9997780000
556,0.9998567000,0.9999930000,0.9999440000
557,0.9993046000,0.9997560000,0.9992200000
558,0.9983255000,0.9989840000,0.9978790000
559,0.9968987000,0.9979120000,0.9961930000
560,0.9950000000,0.9967740000,0.9944300000
561,0.9926005000,0.9957360000,0.9927830000
562,0.9897426000,0.9947110000,0.9911580000
563,0.9864444000,0.9935530000,0.9893920000
564,0.9827241000,0.9921160000,0.9873290000
565,0.9786000000,0.9902550000,0.9848130000
566,0.9740837000,0.9878600000,0.9817250000
567,0.9691712000,0.9849320000,0.9780710000
568,0.9638568000,0.9815040000,0.9738860000
569,0.9581349000,0.9776030000,0.9692030000
570,0.9520000000,0.9732610000,0.9640550000
571,0.9454504000,0.9684760000,0.9584410000
572,0.9384992000,0.9631370000,0.9522380000
573,0.9311628000,0.9571060000,0.9452970000
574,0.9234576000,0.9502540000,0.9374770000
575,0.9154000000,0.9424570000,0.9286490000
576,0.9070064000,0.9336900000,0.9187950000
577,0.8982772000,0.9242890000,0.9083010000
578,0.8892048000,0.9146710000,0.8976350000
579,0.8797816000,0.9052330000,0.8872400000
580,0.8700000000,0.8963610000,0.8775360000
581,0.8598613000,0.8883070000,0.8687920000
582,0.8493920000,0.8808460000,0.8607470000
583,0.8386220000,0.8736450000,0.8530230000
584,0.8275813000,0.8663760000,0.8452530000
585,0.8163000000,0.8587200000,0.8370840000
586,0.8047947000,0.8504300000,0.8282410000
587,0.7930820000,0.8415050000,0.8187320000
588,0.7811920000,0.8320110000,0.8086350000
589,0.7691547000,0.8220150000,0.7980300000
590,0.7570000000,0.8115870000,0.7869950000
591,0.7447541000,0.8007870000,0.7756040000
592,0.7324224000,0.7896520000,0.7639000000
593,0.7200036000,0.7782050000,0.7519160000
594,0.7074965000,0.7664730000,0.7396830000
595,0.6949000000,0.7544790000,0.7272310000
596,0.6822192000,0.7422470000,0.7145880000
597,0.6694716000,0.7298230000,0.7017930000
598,0.6566744000,0.7172520000,0.6888870000
599,0.6438448000,0.7045820000,0.6759100000
600,0.6310000000,0.6918550000,0.6629040000
601,0.6181555000,0.6791010000,0.6498910000
602,0.6053144000,0.6662850000,0.6368410000
603,0.5924756000,0.6533590000,0.6237090000
604,0.5796379000,0.6402810000,0.6104540000
605,0.5668000000,0.6270070000,0.5970370000
606,0.5539611000,0.6135150000,0.5834400000
607,0.5411372000,0.5998490000,0.5697040000
608,0.5283528000,0.5860680000,0.5558890000
609,0.5156323000,0.5722260000,0.5420470000
610,0.5030000000,0.5583750000,0.5282300000
611,0.4904688000,0.5445540000,0.5144750000
612,0.4780304000,0.5307670000,0.5007880000
613,0.4656776000,0.5170130000,0.4871690000
614,0.4534032000,0.5032890000,0.4736160000
615,0.4412000000,0.4895950000,0.4601310000
616,0.4290800000,0.4759440000,0.4467260000
617,0.4170360000,0.4623960000,0.4334590000
618,0.4050320000,0.4490150000,0.4203920000
619,0.3930320000,0.4358620000,0.4075810000
620,0.3810000000,0.4229900000,0.3950760000
621,0.3689184000,0.4104150000,0.3828890000
622,0.3568272000,0.3980360000,0.3709190000
623,0.3447768000,0.3857300000,0.3590450000
624,0.3328176000,0.3733910000,0.3471620000
625,0.3210000000,0.3609240000,0.3351790000
626,0.3093381000,0.3482860000,0.3230560000
627,0.2978504000,0.3355700000,0.3108860000
628,0.2865936000,0.3228960000,0.2987840000
629,0.2756245000,0.3103700000,0.2868530000
630,0.2650000000,0.2980860000,0.2751810000
631,0.2547632000,0.2861160000,0.2638340000
632,0.2448896000,0.2744820000,0.2528330000
633,0.2353344000,0.2631950000,0.2421830000
634,0.2260528000,0.2522630000,0.2318900000
635,0.2170000000,0.2416900000,0.2219560000
636,0.2081616000,0.2314810000,0.2123830000
637,0.1995488000,0.2216380000,0.2031700000
638,0.1911552000,0.2121620000,0.1943180000
639,0.1829744000,0.2030540000,0.1858250000
640,0.1750000000,0.1943120000,0.1776880000
641,0.1672235000,0.1859230000,0.1698930000
642,0.1596464000,0.1778270000,0.1623820000
643,0.1522776000,0.1699650000,0.1550990000
644,0.1451259000,0.1622840000,0.1479920000
645,0.1382000000,0.1547400000,0.1410200000
646,0.1315003000,0.1473080000,0.1341610000
647,0.1250248000,0.1400170000,0.1274400000
648,0.1187792000,0.1329010000,0.1208890000
649,0.1127691000,0.1259910000,0.1145340000
650,0.1070000000,0.1193120000,0.1084000000
651,0.1014762000,0.1128820000,0.1025010000
652,0.0961886400,0.1067110000,0.0968459000
653,0.0911229600,0.1008050000,0.0914394000
654,0.0862648500,0.0951665000,0.0862832000
655,0.0816000000,0.0897959000,0.0813769000
656,0.0771206400,0.0846904000,0.0767171000
657,0.0728255200,0.0798401000,0.0722940000
658,0.0687100800,0.0752337000,0.0680970000
659,0.0647697600,0.0708606000,0.0641155000
660,0.0610000000,0.0667104000,0.0603398000
661,0.0573962100,0.0627736000,0.0567605000
662,0.0539550400,0.0590418000,0.0533699000
663,0.0506737600,0.0555070000,0.0501603000
664,0.0475496500,0.0521614000,0.0471241000
665,0.0445800000,0.0489970000,0.0442538000
666,0.0417587200,0.0460058000,0.0415421000
667,0.0390849600,0.0431788000,0.0389804000
668,0.0365638400,0.0405075000,0.0365609000
669,0.0342004800,0.0379838000,0.0342760000
670,0.0320000000,0.0355998000,0.0321185000
671,0.0299626100,0.0333486000,0.0300819000
672,0.0280766400,0.0312233000,0.0281600000
673,0.0263293600,0.0292178000,0.0263470000
674,0.0247080500,0.0273260000,0.0246373000
675,0.0232000000,0.0255422000,0.0230257000
676,0.0218007700,0.0238612000,0.0215074000
677,0.0205011200,0.0222786000,0.0200784000
678,0.0192810800,0.0207902000,0.0187347000
679,0.0181206900,0.0193919000,0.0174727000
680,0.0170000000,0.0180794000,0.0162884000
681,0.0159037900,0.0168482000,0.0151777000
682,0.0148371800,0.0156919000,0.0141347000
683,0.0138106800,0.0146045000,0.0131541000
684,0.0128347800,0.0135806000,0.0122309000
685,0.0119200000,0.0126157000,0.0113611000
686,0.0110683100,0.0117070000,0.0105419000
687,0.0102733900,0.0108561000,0.0097750500
688,0.0095333110,0.0100648000,0.0090619600
689,0.0088461570,0.0093333800,0.0084029600
690,0.0082100000,0.0086612800,0.0077974600
691,0.0076237810,0.0080460500,0.0072432300
692,0.0070854240,0.0074811300,0.0067343800
693,0.0065914760,0.0069599900,0.0062650000
694,0.0061384850,0.0064770700,0.0058300900
695,0.0057230000,0.0060276800,0.0054253900
696,0.0053430590,0.0056081700,0.0050476300
697,0.0049957960,0.0052166900,0.0046951400
698,0.0046764040,0.0048517900,0.0043665900
699,0.0043800750,0.0045120100,0.0040606900
700,0.0041020000,0.0041959400,0.0037761400
701,0.0038384530,0.0039020600,0.0035115800
702,0.0035890990,0.0036283700,0.0032652100
703,0.0033542190,0.0033730100,0.0030353400
704,0.0031340930,0.0031343200,0.0028205000
705,0.0029290000,0.0029108600,0.0026193700
706,0.0027381390,0.0027015300,0.0024309600
707,0.0025598760,0.0025058000,0.0022548000
708,0.0023932440,0.0023232300,0.0020904900
709,0.0022372750,0.0021533300,0.0019375900
710,0.0020910000,0.0019955600,0.0017956000
711,0.0019535870,0.0018493200,0.0016639900
712,0.0018245800,0.0017139800,0.0015422000
713,0.0017035800,0.0015889000,0.0014296400
714,0.0015901870,0.0014734500,0.0013257500
715,0.0014840000,0.0013670200,0.0012299800
716,0.0013844960,0.0012689500,0.0011417300
717,0.0012912680,0.0011784200,0.0010602700
718,0.0012040920,0.0010946400,0.0009848850
719,0.0011227440,0.0010169400,0.0009149700
720,0.0010470000,0.0009447270,0.0008499900
721,0.0009765896,0.0008775170,0.0007895160
722,0.0009111088,0.0008150440,0.0007333040
723,0.0008501332,0.0007570760,0.0006811460
724,0.0007932384,0.0007033760,0.0006328290
725,0.0007400000,0.0006537050,0.0005881380
726,0.0006900827,0.0006078050,0.0005468390
727,0.0006433100,0.0005653440,0.0005086350
728,0.0005994960,0.0005260050,0.0004732400
729,0.0005584547,0.0004895060,0.0004404020
730,0.0005200000,0.0004555970,0.0004098930
731,0.0004839136,0.0004240550,0.0003815140
732,0.0004500528,0.0003946860,0.0003550900
733,0.0004183452,0.0003673180,0.0003304670
734,0.0003887184,0.0003417940,0.0003075030
735,0.0003611000,0.0003179740,0.0002860720
736,0.0003353835,0.0002957440,0.0002660720
737,0.0003114404,0.0002750560,0.0002474590
738,0.0002891656,0.0002558640,0.0002301920
739,0.0002684539,0.0002381140,0.0002142230
740,0.0002492000,0.0002217450,0.0001994950
741,0.0002313019,0.0002066710,0.0001859340
742,0.0002146856,0.0001927470,0.0001734070
743,0.0001992884,0.0001798310,0.0001617860
744,0.0001850475,0.0001678020,0.0001509640
745,0.0001719000,0.0001565570,0.0001408470
746,0.0001597781,0.0001460170,0.0001313640
747,0.0001486044,0.0001361530,0.0001224900
748,0.0001383016,0.0001269450,0.0001142060
749,0.0001287925,0.0001183670,0.0001064890
750,0.0001200000,0.0001103930,0.0000993144
751,0.0001118595,0.0001029910,0.0000926551
752,0.0001043224,0.0000961184,0.0000864722
753,0.0000973356,0.0000897332,0.0000807278
754,0.0000908459,0.0000837969,0.0000753872
755,0.0000848000,0.0000782744,0.0000704188
756,0.0000791467,0.0000731331,0.0000657934
757,0.0000738580,0.0000683414,0.0000614825
758,0.0000689160,0.0000638704,0.0000574601
759,0.0000643027,0.0000596939,0.0000537027
760,0.0000600000,0.0000557886,0.0000501893
761,0.0000559819,0.0000521351,0.0000469024
762,0.0000522256,0.0000487218,0.0000438317
763,0.0000487184,0.0000455385,0.0000409678
764,0.0000454475,0.0000425744,0.0000383012
765,0.0000424000,0.0000398188,0.0000358222
766,0.0000395610,0.0000372588,0.0000335190
767,0.0000369151,0.0000348747,0.0000313742
768,0.0000344487,0.0000326477,0.0000293707
769,0.0000321482,0.0000305614,0.0000274938
770,0.0000300000,0.0000286018,0.0000257308
771,0.0000279913,0.0000267584,0.0000240725
772,0.0000261136,0.0000250294,0.0000225170
773,0.0000243602,0.0000234137,0.0000210635
774,0.0000227246,0.0000219091,0.0000197099
775,0.0000212000,0.0000205126,0.0000184535
776,0.0000197786,0.0000192190,0.0000172898
777,0.0000184529,0.0000180180,0.0000162093
778,0.0000172169,0.0000168990,0.0000152026
779,0.0000160646,0.0000158531,0.0000142617
780,0.0000149900,0.0000148724,0.0000133795