wl,melanopsin
380,0.00121
381,0.00152
382,0.00188
383,0.00227
384,0.00271
385,0.0032
386,0.00374
387,0.00435
388,0.00488
389,0.00546
390,0.00609
391,0.00754
392,0.0091
393,0.0108
394,0.0126
395,0.0145
396,0.0166
397,0.0188
398,0.0211
399,0.0234
400,0.0259
401,0.0306
402,0.0354
403,0.0405
404,0.0459
405,0.0515
406,0.0573
407,0.0633
408,0.0701
409,0.0771
410,0.0844
411,0.0944
412,0.105
413,0.115
414,0.126
415,0.137
416,0.149
417,0.161
418,0.174
419,0.188
420,0.202
421,0.218
422,0.234
423,0.25
424,0.266
425,0.283
426,0.3
427,0.317
428,0.335
429,0.354
430,0.372
431,0.388
432,0.404
433,0.42
434,0.436
435,0.452
436,0.468
437,0.485
438,0.502
439,0.52
440,0.538
441,0.551
442,0.564
443,0.577
444,0.591
445,0.605
446,0.619
447,0.633
448,0.647
449,0.662
450,0.676
451,0.689
452,0.701
453,0.714
454,0.727
455,0.741
456,0.754
457,0.767
458,0.782
459,0.796
460,0.81
461,0.822
462,0.834
463,0.845
464,0.857
465,0.869
466,0.88
467,0.891
468,0.901
469,0.911
470,0.921
471,0.931
472,0.941
473,0.949
474,0.957
475,0.965
476,0.972
477,0.979
478,0.984
479,0.989
480,0.994
481,0.997
482,0.999
483,1
484,1
485,1
486,0.999
487,0.997
488,0.995
489,0.992
490,0.989
491,0.985
492,0.981
493,0.975
494,0.969
495,0.962
496,0.954
497,0.946
498,0.937
499,0.928
500,0.917
501,0.906
502,0.895
503,0.883
504,0.871
505,0.858
506,0.844
507,0.83
508,0.816
509,0.801
510,0.786
511,0.769
512,0.753
513,0.736
514,0.719
515,0.701
516,0.684
517,0.667
518,0.65
519,0.632
520,0.614
521,0.597
522,0.58
523,0.563
524,0.545
525,0.528
526,0.511
527,0.494
528,0.477
529,0.46
530,0.444
531,0.428
532,0.412
533,0.397
534,0.381
535,0.366
536,0.352
537,0.338
538,0.324
539,0.31
540,0.297
541,0.284
542,0.271
543,0.259
544,0.247
545,0.235
546,0.224
547,0.213
548,0.203
549,0.193
550,0.183
551,0.174
552,0.164
553,0.156
554,0.147
555,0.139
556,0.132
557,0.124
558,0.117
559,0.111
560,0.104
561,0.0982
562,0.0924
563,0.0869
564,0.0816
565,0.0766
566,0.0719
567,0.0674
568,0.0632
569,0.0592
570,0.0554
571,0.0518
572,0.0484
573,0.0453
574,0.0423
575,0.0395
576,0.0368
577,0.0344
578,0.032
579,0.0298
580,0.0278
581,0.0259
582,0.0241
583,0.0224
584,0.0208
585,0.0193
586,0.0179
587,0.0166
588,0.0154
589,0.0143
590,0.0133
591,0.0123
592,0.0114
593,0.0105
594,0.00976
595,0.00903
596,0.00835
597,0.00772
598,0.00715
599,0.00661
600,0.00611
601,0.00565
602,0.00522
603,0.00483
604,0.00446
605,0.00412
606,0.0038
607,0.00351
608,0.00325
609,0.003
610,0.00277
611,0.00256
612,0.00236
613,0.00218
614,0.00201
615,0.00186
616,0.00172
617,0.00158
618,0.00146
619,0.00135
620,0.00125
621,0.00116
622,0.00107
623,0.000986
624,0.000912
625,0.000843
626,0.000779
627,0.000721
628,0.000667
629,0.000617
630,0.000571
631,0.000529
632,0.00049
633,0.000454
634,0.00042
635,0.00039
636,0.000361
637,0.000335
638,0.000311
639,0.000288
640,0.000267
641,0.000248
642,0.00023
643,0.000214
644,0.000199
645,0.000184
646,0.000171
647,0.000159
648,0.000148
649,0.000138
650,0.000128
651,0.000119
652,0.000111
653,0.000103
654,0.0000958
655,0.0000892
656,0.000083
657,0.0000773
658,0.000072
659,0.0000671
660,0.0000625
661,0.0000582
662,0.0000543
663,0.0000506
664,0.0000471
665,0.000044
666,0.000041
667,0.0000382
668,0.0000357
669,0.0000333
670,0.0000311
671,0.000029
672,0.0000271
673,0.0000253
674,0.0000236
675,0.0000221
676,0.0000206
677,0.0000193
678,0.000018
679,0.0000168
680,0.0000157
681,0.0000147
682,0.0000138
683,0.0000129
684,0.0000121
685,0.0000113
686,0.0000106
687,0.0000099
688,0.00000927
689,0.00000868
690,0.00000813
691,0.00000762
692,0.00000714
693,0.00000669
694,0.00000628
695,0.00000589
696,0.00000552
697,0.00000517
698,0.00000486
699,0.00000456
700,0.00000428
701,0.00000402
702,0.00000377
703,0.00000354
704,0.00000332
705,0.00000312
706,0.00000293
707,0.00000276
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0